동별(1),동별(2),동별(3),2017 1/4,2017 2/4,2017 3/4,2017 4/4,2018 1/4,2018 2/4,2018 3/4,2018 4/4,2019 1/4,2019 2/4,2019 3/4,2019 4/4
동별(1),동별(2),동별(3),계,계,계,계,계,계,계,계,계,계,계,계
합계,소계,소계,10197604,10178395,10158411,10124579,10112070,10089517,10068381,10049607,10054979,10041574,10025927,10010983
합계,종로구,소계,162820,163521,164640,164257,164348,163569,163086,163026,162913,162413,162860,161869
합계,종로구,사직동,9831,9702,9687,9717,9768,9722,9763,9818,9782,9724,9700,9815
합계,종로구,삼청동,3127,3131,3137,3097,3076,3067,3069,3073,3045,3030,3013,2997
합계,종로구,부암동,10995,10833,10797,10726,10665,10540,10581,10537,10523,10477,10525,10551
합계,종로구,평창동,19409,19340,19233,19163,19152,19154,19175,19105,19002,18820,18830,18816
합계,종로구,무악동,8407,8384,8360,8375,8317,8282,8239,8260,8585,8702,8745,8740
합계,종로구,교남동,6527,8526,9954,10363,10677,10748,10798,10846,10848,10760,10779,10708
합계,종로구,가회동,4786,4746,4713,4657,4624,4608,4568,4546,4512,4472,4487,4488
합계,종로구,종로1.2.3.4가동,8591,8509,8571,8592,8575,8485,8474,8462,8518,8500,8630,8446
합계,종로구,종로5.6가동,5817,5732,5733,5690,5715,5615,5590,5597,5681,5667,5717,5839
합계,종로구,이화동,8880,8839,8794,8752,8743,8667,8647,8621,8576,8582,8566,8470
합계,종로구,창신1동,6504,6430,6354,6285,6320,6259,6278,6237,6200,6166,6098,6079
합계,종로구,창신2동,10585,10433,10338,10274,10278,10213,10126,10015,9954,9874,9825,9799
합계,종로구,창신3동,7647,7620,7546,7526,7497,7476,7430,7439,7412,7354,7322,7271
합계,종로구,숭인1동,6986,6919,6908,6865,6822,6824,6736,6723,6658,6635,6613,6532
합계,종로구,숭인2동,10137,10079,10113,10140,10118,10088,10061,10088,10070,10041,9972,9902
합계,종로구,청운효자동,13968,13858,13734,13606,13481,13467,13343,13293,13225,13144,13090,12981
합계,종로구,혜화동,20623,20440,20668,20429,20520,20354,20208,20366,20322,20465,20948,20435
합계,중구,소계,133240,132838,134174,134593,135139,135427,135258,135633,135836,136276,136663,136488
합계,중구,소공동,2661,2674,2711,2787,2756,2820,2865,2936,2994,3012,3045,3059
합계,중구,회현동,6045,5999,5968,5953,5934,5927,5879,5952,5973,5898,5864,5850
합계,중구,명동,3530,3514,3494,3469,3432,3398,3416,3470,3412,3445,3497,3567
합계,중구,필동,4996,4935,4897,4885,4917,4999,4922,5045,5022,5088,5054,5020
합계,중구,장충동,5734,5734,5689,5648,5595,5664,5606,5653,5628,5668,5628,5628
합계,중구,광희동,6018,5968,5893,5875,5950,6021,6039,6057,6148,6247,6221,6284
합계,중구,을지로동,1816,1832,1801,1786,1819,1809,1877,1901,1932,1998,2002,2007
합계,중구,신당5동,10079,10039,9944,9830,9773,9683,9679,9691,9710,10139,10846,10929
합계,중구,황학동,13094,13041,13094,13095,13207,13292,13356,13380,13547,13613,13669,13689
합계,중구,중림동,8784,8778,10660,11575,12437,12693,12814,12980,13079,13055,13007,12942
합계,중구,신당동,9639,9653,9550,9544,9574,9540,9457,9419,9395,9338,9336,9234
합계,중구,다산동,15668,15560,15506,15399,15318,15252,15229,15113,15135,15074,15075,15035
합계,중구,약수동,18581,18556,18465,18400,18221,18134,18024,17973,17904,17806,17760,17734
합계,중구,청구동,15123,15109,15065,14999,14933,14938,14877,14844,14743,14732,14595,14515
합계,중구,동화동,11472,11446,11437,11348,11273,11257,11218,11219,11214,11163,11064,10995
합계,용산구,소계,244203,243406,243922,244444,245411,245245,245087,245090,245139,245069,244989,245185
합계,용산구,후암동,19168,19046,18913,18846,18843,18861,18755,18703,18694,18617,18547,18445
합계,용산구,용산2가동,12673,12497,12442,12355,12333,12225,12152,12107,12000,11897,11831,11836
합계,용산구,남영동,8798,8669,8695,8585,8643,8481,8465,8501,8508,8472,8521,8412
합계,용산구,원효로1동,14746,14866,15068,15266,15554,15764,15997,16034,16266,16313,16471,16630
합계,용산구,원효로2동,15400,15279,15260,15233,15203,15149,15143,15064,14976,14847,14779,14718
합계,용산구,효창동,9612,9555,9572,9594,9517,9117,8785,9054,9078,9829,10179,10300
합계,용산구,용문동,12714,12733,12771,12759,12770,12834,12833,12757,12744,12714,12649,12587
합계,용산구,이촌1동,29009,28948,28851,28960,28957,29077,29247,29341,29284,29215,29251,29255
합계,용산구,이촌2동,9340,9311,9269,9229,9233,9236,9153,9090,9055,9045,9025,9005
합계,용산구,이태원1동,8795,8717,8747,8791,8782,8789,9155,9315,9166,9164,9086,9222
합계,용산구,이태원2동,10945,10869,10870,11014,11093,10989,10906,10927,10898,10864,10812,10811
