population_region,mapping_region
가양1동,가양제1동
가양2동,가양제2동
가양3동,가양제3동
갈현1동,갈현제1동
갈현2동,갈현제2동
개봉1동,개봉제1동
개봉2동,개봉제2동
개봉3동,개봉제3동
고덕1동,고덕제1동
고덕2동,고덕제2동
고척1동,고척제1동
고척2동,고척제2동
구로1동,구로제1동
구로2동,구로제2동
구로3동,구로제3동
구로4동,구로제4동
구로5동,구로제5동
구의1동,구의제1동
구의2동,구의제2동
구의3동,구의제3동
길음1동,길음제1동
길음2동,길음제2동
남가좌1동,남가좌제1동
남가좌2동,남가좌제2동
노량진1동,노량진제1동
노량진2동,노량진제2동
답십리1동,답십리제1동
답십리2동,답십리제2동
당산1동,당산제1동
당산2동,당산제2동
대림1동,대림제1동
대림2동,대림제2동
대림3동,대림제3동
도봉1동,도봉제1동
도봉2동,도봉제2동
독산1동,독산제1동
독산2동,독산제2동
독산3동,독산제3동
독산4동,독산제4동
돈암1동,돈암제1동
돈암2동,돈암제2동
둔촌1동,둔촌제1동
둔촌2동,둔촌제2동
등촌1동,등촌제1동
등촌2동,등촌제2동
등촌3동,등촌제3동
망우3동,망우제3동
망원1동,망원제1동
망원2동,망원제2동
면목2동,면목제2동
면목3.8동,면목제3.8동
면목4동,면목제4동
면목5동,면목제5동
면목7동,면목제7동
명일1동,명일제1동
명일2동,명일제2동
묵1동,묵제1동
묵2동,묵제2동
발산1동,발산제1동
방학1동,방학제1동
방학2동,방학제2동
방학3동,방학제3동
방화1동,방화제1동
방화2동,방화제2동
방화3동,방화제3동
북가좌1동,북가좌제1동
북가좌2동,북가좌제2동
불광1동,불광제1동
불광2동,불광제2동
사당1동,사당제1동
사당2동,사당제2동
사당3동,사당제3동
사당4동,사당제4동
사당5동,사당제5동
상도1동,상도제1동
상도2동,상도제2동
상도3동,상도제3동
상도4동,상도제4동
상봉1동,상봉제1동
상봉2동,상봉제2동
성내1동,성내제1동
성내2동,성내제2동
성내3동,성내제3동
성산1동,성산제1동
성산2동,성산제2동
성수1가1동,성수1가제1동
성수1가2동,성수1가제2동
성수2가1동,성수2가제1동
성수2가3동,성수2가제3동
소계,소계
숭인1동,숭인제1동
숭인2동,숭인제2동
시흥1동,시흥제1동
시흥2동,시흥제2동
시흥3동,시흥제3동
시흥4동,시흥제4동
시흥5동,시흥제5동
신길1동,신길제1동
신길3동,신길제3동
신길4동,신길제4동
신길5동,신길제5동
신길6동,신길제6동
신길7동,신길제7동
신당5동,신당제5동
신대방1동,신대방제1동
신대방2동,신대방제2동
신사1동,신사제1동
신사2동,신사제2동
쌍문1동,쌍문제1동
쌍문2동,쌍문제2동
쌍문3동,쌍문제3동
쌍문4동,쌍문제4동
암사1동,암사제1동
암사2동,암사제2동
암사3동,암사제3동
양평1동,양평제1동
양평2동,양평제2동
오류1동,오류제1동
오류2동,오류제2동
왕십리2동,왕십리제2동
원효로1동,원효로제1동
원효로2동,원효로제2동
월곡1동,월곡제1동
월곡2동,월곡제2동
응암1동,응암제1동
응암2동,응암제2동
응암3동,응암제3동
이문1동,이문제1동
이문2동,이문제2동
이촌1동,이촌제1동
이촌2동,이촌제2동
이태원1동,이태원제1동
이태원2동,이태원제2동
자양1동,자양제1동
자양2동,자양제2동
자양3동,자양제3동
자양4동,자양제4동
장안1동,장안제1동
장안2동,장안제2동
장위1동,장위제1동
장위2동,장위제2동
장위3동,장위제3동
전농1동,전농제1동
전농2동,전농제2동
정릉1동,정릉제1동
정릉2동,정릉제2동
정릉3동,정릉제3동
정릉4동,정릉제4동
중곡1동,중곡제1동
중곡2동,중곡제2동
중곡3동,중곡제3동
중곡4동,중곡제4동
중화1동,중화제1동
중화2동,중화제2동
창1동,창제1동
창2동,창제2동
창3동,창제3동
창4동,창제4동
창5동,창제5동
창신1동,창신제1동
창신2동,창신제2동
창신3동,창신제3동
천호1동,천호제1동
천호2동,천호제2동
천호3동,천호제3동
행당1동,행당제1동
행당2동,행당제2동
홍은1동,홍은제1동
홍은2동,홍은제2동
홍제1동,홍제제1동
홍제2동,홍제제2동
홍제3동,홍제제3동
화곡1동,화곡제1동
화곡2동,화곡제2동
화곡3동,화곡제3동
화곡4동,화곡제4동
화곡6동,화곡제6동
화곡8동,화곡제8동
휘경1동,휘경제1동
휘경2동,휘경제2동
